,label,z1,z2
0,North Asia,5.577564239501953,0.11302560567855835
1,North Asia,-1.5895565748214722,1.865692377090454
2,South America,1.7923088073730469,-0.7483243346214294
3,North Asia,0.8235170841217041,-0.2048913836479187
4,North America,-1.407160758972168,0.1873207837343216
5,South West Europe,-2.6488919258117676,-0.8105605840682983
6,Africa,-1.357539176940918,1.704330563545227
7,West Asia,2.275550603866577,-0.4168434143066406
8,South America,0.1897696703672409,1.1639657020568848
9,South Asia,-1.1851887702941895,-3.352105140686035
10,North Asia,-0.730771005153656,-0.34098753333091736
11,North Asia,-1.4681800603866577,0.18401122093200684
12,North Asia,-2.7101995944976807,-0.8412160277366638
13,Africa,-1.5669543743133545,0.16356873512268066
14,South West Europe,-0.8496514558792114,-0.621309220790863
15,North East Europe,1.7008641958236694,-0.8370427489280701
16,North Asia,1.8789801597595215,0.8397930264472961
17,North Asia,2.5337681770324707,2.4262444972991943
18,South West Europe,2.4519259929656982,2.146334409713745
19,North Asia,-1.603090524673462,0.5042296648025513
20,North Asia,-0.7096065282821655,-0.397601455450058
21,South Asia,-1.4026188850402832,1.8632899522781372
22,West Asia,2.2919723987579346,-0.297695130109787
23,South America,2.7733371257781982,-0.3341398537158966
24,North Asia,1.0991935729980469,0.08904647827148438
25,North East Europe,1.624144196510315,-0.5522925853729248
26,North America,-1.8690346479415894,-0.45273205637931824
27,South West Europe,-1.276414155960083,0.2185657024383545
28,Africa,-0.6910610198974609,-0.325217604637146
29,South East Europe,0.9638914465904236,-0.709196925163269
30,North Asia,-1.4189398288726807,1.663270115852356
31,South America,-1.013034701347351,-0.2118094116449356
32,North Asia,2.5110507011413574,-0.07732006162405014
33,North Asia,-1.5030498504638672,1.3859813213348389
34,North America,-2.359467029571533,-0.7693301439285278
35,South Asia,2.597856044769287,-0.5961036086082458
36,North Asia,2.3469042778015137,-0.315776526927948
37,South Asia,0.9247215986251831,-0.8731848001480103
38,North America,-1.5121345520019531,0.4633042514324188
39,Africa,2.1186649799346924,0.20417359471321106
40,South America,1.7107141017913818,-1.254688024520874
41,North Asia,1.7293897867202759,0.7703989744186401
42,South East Europe,1.6869398355484009,1.127962350845337
43,North Asia,1.9984809160232544,-0.9412648677825928
44,North Asia,0.8462995886802673,-0.27322858572006226
45,South West Europe,-2.4494540691375732,-0.9342631697654724
46,North Asia,0.7456012964248657,-0.341042697429657
47,West Asia,-0.753447949886322,-0.22543373703956604
48,Africa,2.45222544670105,2.4005486965179443
49,North America,-0.6265020370483398,0.4859200716018677
50,South America,1.8659918308258057,-0.8539654016494751
51,Africa,-1.4850950241088867,1.7770410776138306
52,Africa,-2.5727932453155518,-0.9302242994308472
53,South America,-0.8077184557914734,0.08295244723558426
54,North America,-0.5552152395248413,0.7121575474739075
55,South Asia,-1.453778624534607,1.6652731895446777
56,North Asia,2.2262754440307617,-1.4076416492462158
57,North Asia,2.5262327194213867,-0.40376463532447815
58,Africa,-2.7255899906158447,-0.8097888827323914
59,South America,2.823880672454834,1.057116985321045
60,South America,1.7933526039123535,-0.9015929698944092
61,North Asia,-2.6913902759552,-0.8107492923736572
62,West Asia,-1.4727164506912231,1.7724316120147705
63,North Asia,-1.5660830736160278,0.2757195830345154
64,South America,2.6236355304718018,1.277687668800354
65,North Asia,0.8668994903564453,-1.1311736106872559
66,Africa,-2.706481456756592,-0.7512637376785278
67,West Asia,1.8131122589111328,-0.6950253844261169
68,North Asia,-0.7610498666763306,0.1623356193304062
69,South West Europe,-0.8337699174880981,-0.4965410828590393
70,Central Asia,2.1428678035736084,1.6042619943618774
71,South America,0.9473110437393188,-0.658820629119873
72,North America,-1.4901589155197144,0.47887757420539856
73,North Asia,1.3814151287078857,-0.9658789038658142
74,North Asia,2.020017623901367,0.6282460689544678
75,North Asia,-2.681269884109497,-0.783547043800354
76,South America,-0.6366255879402161,-3.385038375854492
77,Central Europe,1.135196566581726,-0.868821382522583
78,North Asia,1.6499583721160889,0.9460886716842651
79,Africa,3.103618860244751,1.455007791519165
80,Central Europe,1.7637617588043213,-0.7842648029327393
81,South West Europe,1.1206183433532715,-0.8086408972740173
82,North Asia,2.5760037899017334,2.3249316215515137
83,North Asia,2.0217456817626953,-1.0216623544692993
84,South America,-0.9937174320220947,-3.4612011909484863
85,North Asia,2.8830764293670654,0.44408735632896423
86,South West Europe,1.7101343870162964,-0.6670452356338501
87,North East Europe,1.6990541219711304,-0.17089177668094635
88,West Asia,-1.4765410423278809,1.8480085134506226
89,North Asia,-0.39547544717788696,1.1987134218215942
90,North Asia,0.8897640705108643,-1.0917482376098633
91,North East Europe,1.8391480445861816,-0.6335575580596924
92,South Asia,-1.1376972198486328,0.7475053071975708
93,Africa,-1.357032299041748,1.718085765838623
94,South Asia,0.9130595922470093,-0.8880009651184082
95,Africa,1.949013590812683,-1.111642837524414
96,North East Europe,1.73544180393219,-0.5730160474777222
97,North Asia,2.497556209564209,-0.17280365526676178
98,South Asia,2.481276273727417,-1.396247148513794
99,West Asia,2.717864751815796,-0.2786511480808258
100,South America,2.3542532920837402,1.822597622871399
101,Africa,-1.5747218132019043,0.3393818438053131
102,North Asia,2.267051935195923,1.6892496347427368
103,North Asia,-0.9416859149932861,-3.37276029586792
104,North Asia,1.328951120376587,-0.8431480526924133
105,South West Europe,1.437015175819397,0.41264185309410095
106,South America,1.222988247871399,-0.8811044096946716
107,North Asia,-0.7197754979133606,0.19716522097587585
108,North Asia,-1.4407460689544678,1.752465844154358
109,South America,0.8710730671882629,-0.698034942150116
110,North America,-2.543630361557007,-0.7934023141860962
